Šifra,Oznaka,Naziv dijagnoze,Latinski naziv dijagnoze
11293,W654,Davljenje i potapanje u toku kupanja u kadi -ulica i autoput,Davljenje i potapanje u toku kupanja u kadi -ulica i autoput
11294,W655,Davljenje i potapanje u toku kupanja u kadi -mesta za obavljanje trgovine i uslu,Davljenje i potapanje u toku kupanja u kadi -mesta za obavljanje trgovine i uslu
11295,W656,Davljenje i potapanje u toku kupanja u kadi -prostori za obavljanje industrijske,Davljenje i potapanje u toku kupanja u kadi -prostori za obavljanje industrijske
11296,W657,Davljenje i potapanje u toku kupanja u kadi - farma,Davljenje i potapanje u toku kupanja u kadi - farma
11297,W658,Davljenje i potapanje u toku kupanja u kadi -ostala specifična mesta,Davljenje i potapanje u toku kupanja u kadi -ostala specifična mesta
11298,W659,Davljenje i potapanje u toku kupanja u kadi -neoznačena mesta,Davljenje i potapanje u toku kupanja u kadi -neoznačena mesta
11299,W66,Davljenje i potapanje posle pada u kadu,Davljenje i potapanje posle pada u kadu
11300,W660,Davljenje i potapanje posle pada u kadu - kuća,Davljenje i potapanje posle pada u kadu - kuća
11301,W661,Davljenje i potapanje posle pada u kadu -institucija kao prebivalište,Davljenje i potapanje posle pada u kadu -institucija kao prebivalište
11302,W662,"Davljenje i potapanje posle pada u kadu -škola, druge institucije i javna admini","Davljenje i potapanje posle pada u kadu -škola, druge institucije i javna admini"
11303,W663,Davljenje i potapanje posle pada u kadu -mesta za sport i atletiku,Davljenje i potapanje posle pada u kadu -mesta za sport i atletiku
11304,W664,Davljenje i potapanje posle pada u kadu -ulica i autoput,Davljenje i potapanje posle pada u kadu -ulica i autoput
11305,W665,Davljenje i potapanje posle pada u kadu -mesta za obavljanje trgovine i uslužnih,Davljenje i potapanje posle pada u kadu -mesta za obavljanje trgovine i uslužnih
11306,W666,Davljenje i potapanje posle pada u kadu -prostori za obavljanje industrijske i g,Davljenje i potapanje posle pada u kadu -prostori za obavljanje industrijske i g
11307,W667,Davljenje i potapanje posle pada u kadu -farma,Davljenje i potapanje posle pada u kadu -farma
11308,W668,Davljenje i potapanje posle pada u kadu -ostala specifična mesta,Davljenje i potapanje posle pada u kadu -ostala specifična mesta
11309,W669,Davljenje i potapanje posle pada u kadu -neoznačena mesta,Davljenje i potapanje posle pada u kadu -neoznačena mesta
11310,W67,Davljenje i potapanje za vreme boravka u bazenu za plivanje,Davljenje i potapanje za vreme boravka u bazenu za plivanje
11311,W670,Davljenje i potapanje za vreme boravka u bazenu za plivanje - kuća,Davljenje i potapanje za vreme boravka u bazenu za plivanje - kuća
11312,W671,Davljenje i potapanje za vreme boravka u bazenu za plivanje -institucija kao pre,Davljenje i potapanje za vreme boravka u bazenu za plivanje -institucija kao pre
11313,W672,"Davljenje i potapanje za vreme boravka u bazenu za plivanje -škola, druge instit","Davljenje i potapanje za vreme boravka u bazenu za plivanje -škola, druge instit"
11314,W673,Davljenje i potapanje za vreme boravka u bazenu za plivanje -mesta za sport i at,Davljenje i potapanje za vreme boravka u bazenu za plivanje -mesta za sport i at
11315,W674,Davljenje i potapanje za vreme boravka u bazenu za plivanje -ulica i autoput,Davljenje i potapanje za vreme boravka u bazenu za plivanje -ulica i autoput
11316,W675,Davljenje i potapanje za vreme boravka u bazenu za plivanje -mesta za obavljanje,Davljenje i potapanje za vreme boravka u bazenu za plivanje -mesta za obavljanje
11317,W676,Davljenje i potapanje za vreme boravka u bazenu za plivanje -prostori za obavlja,Davljenje i potapanje za vreme boravka u bazenu za plivanje -prostori za obavlja
11318,W677,Davljenje i potapanje za vreme boravka u bazenu za plivanje - farma,Davljenje i potapanje za vreme boravka u bazenu za plivanje - farma
11319,W678,Davljenje i potapanje za vreme boravka u bazenu za plivanje -ostala specifična m,Davljenje i potapanje za vreme boravka u bazenu za plivanje -ostala specifična m
11320,W679,Davljenje i potapanje za vreme boravka u bazenu za plivanje -neoznačena mesta,Davljenje i potapanje za vreme boravka u bazenu za plivanje -neoznačena mesta
11321,W68,Davljenje i potapanje posle pada u bazen za plivanje,Davljenje i potapanje posle pada u bazen za plivanje
11322,W680,Davljenje i potapanje posle pada u bazen za plivanje - kuća,Davljenje i potapanje posle pada u bazen za plivanje - kuća
11323,W681,Davljenje i potapanje posle pada u bazen za plivanje -institucija kao prebivališ,Davljenje i potapanje posle pada u bazen za plivanje -institucija kao prebivališ
11324,W682,"Davljenje i potapanje posle pada u bazen za plivanje -škola, druge institucije i","Davljenje i potapanje posle pada u bazen za plivanje -škola, druge institucije i"
11325,W683,Davljenje i potapanje posle pada u bazen za plivanje -mesta za sport i atletiku,Davljenje i potapanje posle pada u bazen za plivanje -mesta za sport i atletiku
11326,W684,Davljenje i potapanje posle pada u bazen za plivanje -ulica i autoput,Davljenje i potapanje posle pada u bazen za plivanje -ulica i autoput
11327,W685,Davljenje i potapanje posle pada u bazen za plivanje -mesta za obavljanje trgovi,Davljenje i potapanje posle pada u bazen za plivanje -mesta za obavljanje trgovi
11328,W686,Davljenje i potapanje posle pada u bazen za plivanje -prostori za obavljanje ind,Davljenje i potapanje posle pada u bazen za plivanje -prostori za obavljanje ind
11329,W687,Davljenje i potapanje posle pada u bazen za plivanje - farma,Davljenje i potapanje posle pada u bazen za plivanje - farma
11330,W688,Davljenje i potapanje posle pada u bazen za plivanje -ostala specifična mesta,Davljenje i potapanje posle pada u bazen za plivanje -ostala specifična mesta
11331,W689,Davljenje i potapanje posle pada u bazen za plivanje -neoznačena mesta,Davljenje i potapanje posle pada u bazen za plivanje -neoznačena mesta
11332,W69,Davljenje i potapanje za vreme boravka u vodi u prirodi,Davljenje i potapanje za vreme boravka u vodi u prirodi
11333,W690,Davljenje i potapanje za vreme boravka u vodi u prirodi - kuća,Davljenje i potapanje za vreme boravka u vodi u prirodi - kuća
11334,W691,Davljenje i potapanje za vreme boravka u vodi u prirodi -institucija kao prebiva,Davljenje i potapanje za vreme boravka u vodi u prirodi -institucija kao prebiva
11335,W692,"Davljenje i potapanje za vreme boravka u vodi u prirodi -škola, druge institucij","Davljenje i potapanje za vreme boravka u vodi u prirodi -škola, druge institucij"
11336,W693,Davljenje i potapanje za vreme boravka u vodi u prirodi -mesta za sport i atleti,Davljenje i potapanje za vreme boravka u vodi u prirodi -mesta za sport i atleti
11337,W694,Davljenje i potapanje za vreme boravka u vodi u prirodi -ulica i autoput,Davljenje i potapanje za vreme boravka u vodi u prirodi -ulica i autoput
11338,W695,Davljenje i potapanje za vreme boravka u vodi u prirodi -mesta za obavljanje trg,Davljenje i potapanje za vreme boravka u vodi u prirodi -mesta za obavljanje trg
11339,W696,Davljenje i potapanje za vreme boravka u vodi u prirodi -prostori za obavljanje,Davljenje i potapanje za vreme boravka u vodi u prirodi -prostori za obavljanje
11340,W697,Davljenje i potapanje za vreme boravka u vodi u prirodi - farma,Davljenje i potapanje za vreme boravka u vodi u prirodi - farma
11341,W698,Davljenje i potapanje za vreme boravka u vodi u prirodi -ostala specifična mesta,Davljenje i potapanje za vreme boravka u vodi u prirodi -ostala specifična mesta
11342,W699,Davljenje i potapanje za vreme boravka u vodi u prirodi -neoznačena mesta,Davljenje i potapanje za vreme boravka u vodi u prirodi -neoznačena mesta
11343,W70,Davljenje i potapanje posle pada u vodi,Davljenje i potapanje posle pada u vodi
11344,W700,Davljenje i potapanje posle pada u vodu - kuća,Davljenje i potapanje posle pada u vodu - kuća
11345,W701,Davljenje i potapanje posle pada u vodu -institucija kao prebivalište,Davljenje i potapanje posle pada u vodu -institucija kao prebivalište
11346,W702,"Davljenje i potapanje posle pada u vodu -škola, druge institucije i javna admini","Davljenje i potapanje posle pada u vodu -škola, druge institucije i javna admini"
11347,W703,Davljenje i potapanje posle pada u vodu -mesta za sport i atletiku,Davljenje i potapanje posle pada u vodu -mesta za sport i atletiku
11348,W704,Davljenje i potapanje posle pada u vodu -ulica i autoput,Davljenje i potapanje posle pada u vodu -ulica i autoput
11349,W705,Davljenje i potapanje posle pada u vodu -mesta za obavljanje trgovine i uslužnih,Davljenje i potapanje posle pada u vodu -mesta za obavljanje trgovine i uslužnih
11350,W706,Davljenje i potapanje posle pada u vodu -prostori za obavljanje industrijske i g,Davljenje i potapanje posle pada u vodu -prostori za obavljanje industrijske i g
11351,W707,Davljenje i potapanje posle pada u vodu - farma,Davljenje i potapanje posle pada u vodu - farma
11352,W708,Davljenje i potapanje posle pada u vodu -ostala specifična mesta,Davljenje i potapanje posle pada u vodu -ostala specifična mesta
11353,W709,Davljenje i potapanje posle pada u vodu -neoznačena mesta,Davljenje i potapanje posle pada u vodu -neoznačena mesta
11354,W73,Drugo označeno davljenje i potapanje,Drugo označeno davljenje i potapanje
11355,W730,Drugo označeno davljenje i potapanje - kuća,Drugo označeno davljenje i potapanje - kuća
11356,W731,Drugo označeno davljenje i potapanje -institucija kao prebivalište,Drugo označeno davljenje i potapanje -institucija kao prebivalište
11357,W732,"Drugo označeno davljenje i potapanje -škola, druge institucije i javna administr","Drugo označeno davljenje i potapanje -škola, druge institucije i javna administr"
11358,W733,Drugo označeno davljenje i potapanje -mesta za sport i atletiku,Drugo označeno davljenje i potapanje -mesta za sport i atletiku
11359,W734,Drugo označeno davljenje i potapanje -ulica i autoput,Drugo označeno davljenje i potapanje -ulica i autoput
11360,W735,Drugo označeno davljenje i potapanje -mesta za obavljanje trgovine i uslužnih de,Drugo označeno davljenje i potapanje -mesta za obavljanje trgovine i uslužnih de
11361,W736,Drugo označeno davljenje i potapanje -prostori za obavljanje industrijske i građ,Drugo označeno davljenje i potapanje -prostori za obavljanje industrijske i građ
11362,W737,Drugo označeno davljenje i potapanje - farma,Drugo označeno davljenje i potapanje - farma
11363,W738,Drugo označeno davljenje i potapanje -ostala specifična mesta,Drugo označeno davljenje i potapanje -ostala specifična mesta
11364,W739,Drugo označeno davljenje i potapanje -neoznačena mesta,Drugo označeno davljenje i potapanje -neoznačena mesta
11365,W74,Neoznačeno davljenje i potapanje,Neoznačeno davljenje i potapanje
11366,W740,Neoznačeno davljenje i potapanje - kuća,Neoznačeno davljenje i potapanje - kuća
11367,W741,Neoznačeno davljenje i potapanje -institucija kao prebivalište,Neoznačeno davljenje i potapanje -institucija kao prebivalište
11368,W742,"Neoznačeno davljenje i potapanje -škola, druge institucije i javna administrativ","Neoznačeno davljenje i potapanje -škola, druge institucije i javna administrativ"
11369,W743,Neoznačeno davljenje i potapanje -mesta za sport i atletiku,Neoznačeno davljenje i potapanje -mesta za sport i atletiku
11370,W744,Neoznačeno davljenje i potapanje - ulica i autoput,Neoznačeno davljenje i potapanje - ulica i autoput
11371,W745,Neoznačeno davljenje i potapanje - mesta za obavljanje trgovine i uslužnih delat,Neoznačeno davljenje i potapanje - mesta za obavljanje trgovine i uslužnih delat
11372,W746,Neoznačeno davljenje i potapanje - prostori za obavljanje industrijske i građevi,Neoznačeno davljenje i potapanje - prostori za obavljanje industrijske i građevi
11373,W747,Neoznačeno davljenje i potapanje - farma,Neoznačeno davljenje i potapanje - farma
11374,W748,Neoznačeno davljenje i potapanje - ostala specifična mesta,Neoznačeno davljenje i potapanje - ostala specifična mesta
11375,W749,Neoznačeno davljenje i potapanje - neoznačena mesta,Neoznačeno davljenje i potapanje - neoznačena mesta
11376,W75,Zadesno ugušenje i davljenje u krevetu,Zadesno ugušenje i davljenje u krevetu
11377,W750,Zadesno ugušenje i davljenje u krevetu - kuća,Zadesno ugušenje i davljenje u krevetu - kuća
11378,W751,Zadesno ugušenje i davljenje u krevetu -institucija kao prebivalište,Zadesno ugušenje i davljenje u krevetu -institucija kao prebivalište
11379,W752,"Zadesno ugušenje i davljenje u krevetu - škola, druge institucije i javna admini","Zadesno ugušenje i davljenje u krevetu - škola, druge institucije i javna admini"
11380,W753,Zadesno ugušenje i davljenje u krevetu - mesta za sport i atletiku,Zadesno ugušenje i davljenje u krevetu - mesta za sport i atletiku
11381,W754,Zadesno ugušenje i davljenje u krevetu -ulica i autoput,Zadesno ugušenje i davljenje u krevetu -ulica i autoput
11382,W755,Zadesno ugušenje i davljenje u krevetu -mesta za obavljanje trgovine i uslužnih,Zadesno ugušenje i davljenje u krevetu -mesta za obavljanje trgovine i uslužnih
11383,W756,Zadesno ugušenje i davljenje u krevetu -prostori za obavljanje industrijske i gr,Zadesno ugušenje i davljenje u krevetu -prostori za obavljanje industrijske i gr
11384,W757,Zadesno ugušenje i davljenje u krevetu - farma,Zadesno ugušenje i davljenje u krevetu - farma
11385,W758,Zadesno ugušenje i davljenje u krevetu -ostala specifična mesta,Zadesno ugušenje i davljenje u krevetu -ostala specifična mesta
11386,W759,Zadesno ugušenje i davljenje u krevetu - neoznačena mesta,Zadesno ugušenje i davljenje u krevetu - neoznačena mesta
11387,W76,Druga zadesna vešanja i davljenja,Druga zadesna vešanja i davljenja
11388,W760,Druga zadesna vešanja i davljenja - kuća,Druga zadesna vešanja i davljenja - kuća
11389,W761,Druga zadesna vešanja i davljenja -institucija kao prebivalište,Druga zadesna vešanja i davljenja -institucija kao prebivalište
11390,W762,"Druga zadesna vešanja i davljenja - škola, druge institucije i javna administrat","Druga zadesna vešanja i davljenja - škola, druge institucije i javna administrat"
11391,W763,Druga zadesna vešanja i davljenja - mesta za sport i atletiku,Druga zadesna vešanja i davljenja - mesta za sport i atletiku
11392,W764,Druga zadesna vešanja i davljenja -ulica i autoput,Druga zadesna vešanja i davljenja -ulica i autoput
11393,W765,Druga zadesna vešanja i davljenja -mesta za obavljanje trgovine i uslužnih delat,Druga zadesna vešanja i davljenja -mesta za obavljanje trgovine i uslužnih delat
11394,W766,Druga zadesna vešanja i davljenja -prostori za obavljanje industrijske i građevi,Druga zadesna vešanja i davljenja -prostori za obavljanje industrijske i građevi
11395,W767,Druga zadesna vešanja i davljenja - farma,Druga zadesna vešanja i davljenja - farma
11396,W768,Druga zadesna vešanja i davljenja -ostala specifična mesta,Druga zadesna vešanja i davljenja -ostala specifična mesta
11397,W769,Druga zadesna vešanja i davljenja -neoznačena mesta,Druga zadesna vešanja i davljenja -neoznačena mesta
11398,W77,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija"
11399,W770,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -"
11400,W771,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -i","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -i"
11401,W772,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -š","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -š"
11402,W773,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -"
11403,W774,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -u","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -u"
11404,W775,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -m","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -m"
11405,W776,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -p","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -p"
11406,W777,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -"
11407,W778,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -o","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -o"
11408,W779,"Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -n","Ugrožavanje disanja uzrokovano obrušavanjem,padanjem zemlje i drugih materija -n"
11409,W78,Udisanje sadržaja želudca,Udisanje sadržaja želudca
11410,W780,Udisanje sadržaja želuca - kuća,Udisanje sadržaja želuca - kuća
11411,W781,Udisanje sadržaja želuca -institucija kao prebivalište,Udisanje sadržaja želuca -institucija kao prebivalište
11412,W782,"Udisanje sadržaja želuca -škola, druge institucije i javna administrativna mesta","Udisanje sadržaja želuca -škola, druge institucije i javna administrativna mesta"
11413,W783,Udisanje sadržaja želuca - mesta za sport i atletiku,Udisanje sadržaja želuca - mesta za sport i atletiku
11414,W784,Udisanje sadržaja želuca -ulica i autoput,Udisanje sadržaja želuca -ulica i autoput
11415,W785,Udisanje sadržaja želuca -mesta za obavljanje trgovine i uslužnih delatnosti,Udisanje sadržaja želuca -mesta za obavljanje trgovine i uslužnih delatnosti
11416,W786,Udisanje sadržaja želuca -prostori za obavljanje industrijske i građevinske dela,Udisanje sadržaja želuca -prostori za obavljanje industrijske i građevinske dela
11417,W787,Udisanje sadržaja želuca - farma,Udisanje sadržaja želuca - farma
11418,W788,Udisanje sadržaja želuca -ostala specifična mesta,Udisanje sadržaja želuca -ostala specifična mesta
11419,W789,Udisanje sadržaja želuca -neoznačena mesta,Udisanje sadržaja želuca -neoznačena mesta
11420,W79,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva
11421,W790,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva - kuća,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva - kuća
11422,W791,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -institucija,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -institucija
11423,W792,"Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -škola, drug","Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -škola, drug"
11424,W793,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -mesta za sp,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -mesta za sp
11425,W794,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -ulica i aut,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -ulica i aut
11426,W795,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -mesta za ob,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -mesta za ob
11427,W796,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -prostori za,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -prostori za
11428,W797,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva - farma,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva - farma
11429,W798,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -ostala spec,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -ostala spec
11430,W799,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -neoznačena,Udisanje i gutanje hrane koja uzrokuje začepljenost disajnih puteva -neoznačena
11431,W80,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva
11432,W800,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -
11433,W801,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -i,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -i
11434,W802,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -š,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -š
11435,W803,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -
11436,W804,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -u,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -u
11437,W805,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -m,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -m
11438,W806,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -p,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -p
11439,W807,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -
11440,W808,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -o,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -o
11441,W809,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -n,Udisanje i gutanje drugih predmeta koji uzrokuju začepljenost disajnih puteva -n
11442,W81,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika
11443,W810,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - kuća,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - kuća
11444,W811,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - institucija kao p,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - institucija kao p
11445,W812,"Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - škola, druge inst","Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - škola, druge inst"
11446,W813,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika -mesta za sport i a,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika -mesta za sport i a
11447,W814,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika -ulica i autoput,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika -ulica i autoput
11448,W815,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika -mesta za obavljanj,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika -mesta za obavljanj
11449,W816,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika -prostori za obavlj,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika -prostori za obavlj
11450,W817,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - farma,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - farma
11451,W818,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - ostala specifična,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - ostala specifična
11452,W819,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - neoznačena mesta,Zatvoren ili zaglavljen u prostoriji sa nedovoljno kiseonika - neoznačena mesta
11453,W83,Druga označena ugrožavanja disanja,Druga označena ugrožavanja disanja
11454,W830,Druga označena ugrožavanja disanja - kuća,Druga označena ugrožavanja disanja - kuća
11455,W831,Druga označena ugrožavanja disanja -institucija kao prebivalište,Druga označena ugrožavanja disanja -institucija kao prebivalište
11456,W832,"Druga označena ugrožavanja disanja - škola, druge institucije i javna administra","Druga označena ugrožavanja disanja - škola, druge institucije i javna administra"
11457,W833,Druga označena ugrožavanja disanja -mesta za sport i atletiku,Druga označena ugrožavanja disanja -mesta za sport i atletiku
11458,W834,Druga označena ugrožavanja disanja -ulica i autoput,Druga označena ugrožavanja disanja -ulica i autoput
11459,W835,Druga označena ugrožavanja disanja -mesta za obavljanje trgovine i uslužnih dela,Druga označena ugrožavanja disanja -mesta za obavljanje trgovine i uslužnih dela
11460,W836,Druga označena ugrožavanja disanja -prostori za obavljanje industrijske i građev,Druga označena ugrožavanja disanja -prostori za obavljanje industrijske i građev
11461,W837,Druga označena ugrožavanja disanja - farma,Druga označena ugrožavanja disanja - farma
11462,W838,Druga označena ugrožavanja disanja -ostala specifična mesta,Druga označena ugrožavanja disanja -ostala specifična mesta
11463,W839,Druga označena ugrožavanja disanja -neoznačena mesta,Druga označena ugrožavanja disanja -neoznačena mesta
11464,W84,Neoznačeno ugrožavanje disanja,Neoznačeno ugrožavanje disanja
11465,W840,Neoznačeno ugrožavanje disanja - kuća,Neoznačeno ugrožavanje disanja - kuća
11466,W841,Neoznačeno ugrožavanje disanja -institucija kao prebivalište,Neoznačeno ugrožavanje disanja -institucija kao prebivalište
11467,W842,"Neoznačeno ugrožavanje disanja -škola, druge institucije i javna administrativna","Neoznačeno ugrožavanje disanja -škola, druge institucije i javna administrativna"
11468,W843,Neoznačeno ugrožavanje disanja -mesta za sport i atletiku,Neoznačeno ugrožavanje disanja -mesta za sport i atletiku
11469,W844,Neoznačeno ugrožavanje disanja -ulica i autoput,Neoznačeno ugrožavanje disanja -ulica i autoput
11470,W845,Neoznačeno ugrožavanje disanja -mesta za obavljanje trgovine i uslužnih delatnos,Neoznačeno ugrožavanje disanja -mesta za obavljanje trgovine i uslužnih delatnos
11471,W846,Neoznačeno ugrožavanje disanja -prostori za obavljanje industrijske i građevinsk,Neoznačeno ugrožavanje disanja -prostori za obavljanje industrijske i građevinsk
11472,W847,Neoznačeno ugrožavanje disanja - farma,Neoznačeno ugrožavanje disanja - farma
11473,W848,Neoznačeno ugrožavanje disanja -ostala specifična mesta,Neoznačeno ugrožavanje disanja -ostala specifična mesta
11474,W849,Neoznačeno ugrožavanje disanja -neoznačena mesta,Neoznačeno ugrožavanje disanja -neoznačena mesta
11475,W85,Izlaganje vodovima za prenos električne energije,Izlaganje vodovima za prenos električne energije
11476,W850,Izlaganje vodovodima za prenos električne energije - kuća,Izlaganje vodovodima za prenos električne energije - kuća
11477,W851,Izlaganje vodovodima za prenos električne energije -institucija kao prebivalište,Izlaganje vodovodima za prenos električne energije -institucija kao prebivalište
11478,W852,"Izlaganje vodovodima za prenos električne energije -škola, druge institucije i j","Izlaganje vodovodima za prenos električne energije -škola, druge institucije i j"
11479,W853,Izlaganje vodovodima za prenos električne energije -mesta za sport i atletiku,Izlaganje vodovodima za prenos električne energije -mesta za sport i atletiku
11480,W854,Izlaganje vodovodima za prenos električne energije -ulica i autoput,Izlaganje vodovodima za prenos električne energije -ulica i autoput
11481,W855,Izlaganje vodovodima za prenos električne energije -mesta za obavljanje trgovine,Izlaganje vodovodima za prenos električne energije -mesta za obavljanje trgovine
11482,W856,Izlaganje vodovodima za prenos električne energije -prostori za obavljanje indus,Izlaganje vodovodima za prenos električne energije -prostori za obavljanje indus
11483,W857,Izlaganje vodovodima za prenos električne energije - farma,Izlaganje vodovodima za prenos električne energije - farma
11484,W858,Izlaganje vodovodima za prenos električne energije -ostala specifična mesta,Izlaganje vodovodima za prenos električne energije -ostala specifična mesta
11485,W859,Izlaganje vodovodima za prenos električne energije -neoznačena mesta,Izlaganje vodovodima za prenos električne energije -neoznačena mesta
11486,W86,Izlaganje drugim označenim električnim strujama,Izlaganje drugim označenim električnim strujama
11487,W860,Izlaganje drugim označenim električnim strujama -kuća,Izlaganje drugim označenim električnim strujama -kuća
11488,W861,Izlaganje drugim označenim električnim strujama -institucija kao prebivalište,Izlaganje drugim označenim električnim strujama -institucija kao prebivalište
11489,W862,"Izlaganje drugim označenim električnim strujama -škola, druge institucije i javn","Izlaganje drugim označenim električnim strujama -škola, druge institucije i javn"
11490,W863,Izlaganje drugim označenim električnim strujama -mesta za sport i atletiku,Izlaganje drugim označenim električnim strujama -mesta za sport i atletiku
11491,W864,Izlaganje drugim označenim električnim strujama -ulica i autoput,Izlaganje drugim označenim električnim strujama -ulica i autoput
11492,W865,Izlaganje drugim označenim električnim strujama -mesta za obavljanje trgovine i,Izlaganje drugim označenim električnim strujama -mesta za obavljanje trgovine i
